province,district,code
四川省,成都市,5101
四川省,自贡市,5103
四川省,攀枝花市,5104
四川省,泸州市,5105
四川省,德阳市,5106
四川省,绵阳市,5107
四川省,广元市,5108
四川省,遂宁市,5109
四川省,内江市,5110
四川省,乐山市,5111
四川省,南充市,5113
四川省,眉山市,5114
四川省,宜宾市,5115
四川省,广安市,5116
四川省,达州市,5117
四川省,雅安市,5118
四川省,巴中市,5119
四川省,资阳市,5120
四川省,阿坝藏族羌族自治州,5132
四川省,甘孜藏族自治州,5133
四川省,凉山彝族自治州,5134
